title,company,datePosted,validThrough,duration,addressLocality,addressRegion,postalCode,employmentType,experienceRequirements,function,industry,description
Data Scientist,Facebook,2021-03-17 06:24:32+00:00,2021-04-16 06:24:31+00:00,29.999988425925928,Fremont,CA,94537,FULL_TIME,Not Applicable,Engineering,Internet,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebook's Data Center organization. As we plan to grow our Data Center organization, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook's global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs.ResponsibilitiesLeverage data and business principles to create and drive large scale FB Data Center programs.Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook’s data centers.Collaborate with cross-functional data and product teams across business applications to define problem statements, access and manipulate data, build analytical models, explain data-gathering requirements, deliver analytics insights, and make recommendations.Define, compute, track, and continuously validate business metrics with descriptive and predictive analytics.Identify and implement streamlined processes for data reporting and communication, and use analytical models to identify insights to drive key decisions across leadership and the organization.Provide mentorship to other members of the team on best practices for design and implementation of cutting-edge analytics insights.Lead and support various ad hoc projects, as needed, in support of Facebook’s Data Center strategy.Leverage tools like R, Tableau, Python, and SQL to drive efficient analytics.Minimum QualificationDegree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research, Management Science)3+ years of experience in a role with data analysis and metrics development3+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across stakeholders3+ years of SQL development experience writing queries3+ years of hands-on project management experience3+ years of experience with data visualization tools3+ years of experience with packages such as R, Tableau, SPSS, SAS, STATA, etc.2+ years of experience with scripting in Python or PHPExperience leveraging data driven models to drive business decisionsExperience using data access tools and building visualizations using large datasets and multiple data sourcesExperience thinking analyticallyExperience communicating data to all organizational levelsExperienced with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2Knowledge of statistics and optimization techniquesHands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation)Preferred QualificationTechnical knowledge of data center operationsFacebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.Show moreShow less"
"Machine Learning Engineer, Apple Pay",Apple,2021-03-17 19:19:01+00:00,2021-04-17 02:15:16+00:00,30.2890625,Austin,TX,78746,FULL_TIME,Not Applicable,Engineering,Consumer Electronics,"Summary Join the team that provides software security technologies to help users protect their accounts. We believe in transforming your smartphone into a device that secures your digital life without sacrificing your privacy. We are seeking a Machine Learning Engineer that will develop solutions to bring order to unstructured data using modeling techniques. A successful candidate will have a bent for applied research with expertise in pattern mining, anomaly detection, predictive modeling, classification and optimization. The candidate will take end-to-end responsibility for translating customer needs into analytical solutions from feature engineering, implementation, model training and reporting. The role requires working in a fast paced environment, handling multiple assignments and being self driven. Candidates also need to show initiative and be able to take ownership of a problem area. Key Qualifications Strong working knowledge of data mining algorithms including classifiers, clustering algorithms and anomaly detection techniques.Familiarity with database modeling and data warehousing principles and SQL.Familiarity with Big Data tools like Spark, Hive etc.Strong programming skills in Java, Python, Scala or similar languagePassion for problem-solving and analysisHighly motivated and organized, with the ability to accept ambiguity and deliver exceptional results on tight schedulesUnderstanding of privacy-preserving techniques is a plus Description Apple is looking for a Machine Learning Engineer to work on our software security technologies to develop and launch new products. You will work hand-in-hand with security engineers, software engineers, program managers and business partners to understand problems, define data-driven solutions, execute plans and communicate results on a regular basis. Education & Experience MS or PhD in quantitative field, such as Computer Science, Applied Mathematics, or Statistics, or equivalent industry experienceShow moreShow less"
Data Scientist,Stem IT,2021-03-17 20:45:56+00:00,2021-04-16 20:45:56+00:00,30.0,Mclean,VA,22101,FULL_TIME,Mid-Senior level,Engineering,"Financial Services,Capital Markets,Computer & Network Security","R&D division of a prominent DARPA partner, is hiring a Data Scientist for its Mclean based operations. A few responsibilities include: creating data analytic models to improve data metrics, analyzing customer behavior and trends in the field of AI + NLP, delivering insights to stakeholders and executives, as well embarking on data ingestion and data streaming. The ideal candidate will be well versed with: machine learning tools, Python, R, NLP, Elastic Search, and Apache Nifi and have experience with predictive analytics in a forward thinking environment.Must Haves:- 3+ years experience as Data Scientist- Bachelors degree in related field- Proficient with atleast two of these languages: Python(preferable), R, Scala and Java- Experience with Postgres and MongoDB- Worked with modern BI and analytic software platforms- Experience with Data ingestion tools Great to have:- Masters degree/PHD in related field- Experience with Machine Learning Tools- Experience with Python (preferable) R, andScala- Development background utilizing JVM languages- Experience with NLP tools- Background with Elastic Search- Containerization experience with Docker and/or KubernetesPackage:- Full-time Direct hire with amazingbenefits- Education/tuition reimbursement plans- Plethora of healthcare options- Employee retirement matching plans- Yearly bonus plans- Many moreShow moreShow less"
"Data Scientist, CommodityFX Analytics",McKinsey & Company,2021-03-05 10:18:43+00:00,2021-04-16 21:09:38+00:00,42.452025462962965,Denver,CO,80201,FULL_TIME,Associate,Information Technology,"Renewables & Environment,Environmental Services,Farming","Apply NowQualificationsUndergraduate degree and excellent academic recordMSc or PhD level degree in a quantitative discipline such as computer science (especially machine learning), applied mathematics, behavioral economics, quantitative finance or industrial engineering or equivalent practitioner experience2 + years of relevant experience involving commodity/FX markets preferred Experience developing trading or hedging strategies (especially physical/cash markets) or price-discovery analysis in ags, softs, basic materials, energy, and/or FX markets preferredExperience writing clean, efficient Python code involving ETL processes, data manipulation, and standard data science packages (e.g., SciPy, NumPy, Pandas, SKlearn)Experience applying advanced analytical and statistical methods to solve business problems involving commodity/FX marketsAbility to explain nuances of commodity/FX markets and complex analytical concepts to people from other fieldsExperience creating and implementing machine-learning models and dealing with large data sets (e.g., time series/econometrics models, linear models with regularization algorithm, classification algorithms like random forest, support vector machine, or LGBM)Experience working with production level IDEs (e.g., Visual Studio, PyCharm), interactive IDEs (e.g., Spyder, Jupyter), and Version Control(e.g., git, svn)Creative, naturally curious and willing to take intellectual risksComfortable working under competing, quickly changing prioritiesWillingness to travel up to 50% (pending return to travel)Who You'll Work WithAs a member of the CommodityFX Analytics team, you’ll work with McKinsey’s agricultural analytics team (ACRE), McKinsey’s Risk Practice, and client service teams that support clients across sectors and geographies.CommodityFX Analytics helps commodity consumers and producers across agriculture, basic materials, and energy sectors identify, measure and optimize their price risk exposure to commodity and FX markets with data science.Our Risk Practice supports clients in many different industries facing challenges of developing and implementing tailored concepts for risk recognition, measurement, and control. Facing extreme volatility in financial and commodity markets, more and more of our clients are realizing that effective, risk-informed strategy can offer a major source of competitive advantage.Our Agriculture Practice advises agribusiness, consumer food, government, and investor clients on strategic, marketing & sales, and operations issues, helping support industry-shaping decisions that impact the future of global food production.ACRE is a team of ~45 expert consultants, data scientists, and engineers focused on bringing cutting-edge analytics to agriculture & related clients. ACRE is an agile team within the firm whose goal is to use the latest analytical methods, incubate new technologies and drive innovative ways to develop new opportunities for the firm to make significant and lasting client impact – redefining what it means to provide the “best of the firm” to our clients.What You'll DoYou will leverage market knowledge and analytical expertise to provide insights both to clients as part of client service teams and within our team by strengthening the core products and algorithms we build for clients. You can expect to split your time delivering impact at clients (either remotely or on site, when in-person travel resumes) and building up ACRE’s core analytical offerings in our Denver office (once in-person office attendance resumes).As a member of client service teams, you will leverage your creativity and problem-solving skills to tackle clients’ most pressing issues using an analytical lens, meeting client needs and communicating your work to executive audiences. Client counterparts span a wide range of audiences and functions from treasury and risk professionals, marketing & sales teams, procurement category managers, to high-level stakeholders (e.g., CFO).When working internally, you will build innovative algorithms and products (what we call “IP development”) to best meet our most common client needs, from building price forecasting models for commodities markets, to brainstorming and developing new offers and solutions to support future clients. You will also work with our engineers to design new interfaces to deliver faster, more impactful insights to our clients.In this role, your work on the team will primarily be in applying advanced analytics to enable better commodity and FX risk management decisions. For example, you might work as the lead in maintaining and expanding existing hedging strategies by re-training existing models through process-driven approaches. You might also modify and improve algorithm performance across market regimes, by introducing new features, data sources, and modelling approaches; rapidly identify opportunities for our clients to increase earnings potential and reduce downside risk by back testing various risk management strategies; co-build bespoke tools with client data science teams that tailor machine-learning algorithms to attain an optimal balance of earnings and volatility given clients’ risk appetite and capital constraints; and/or collaborate with and train cross-functional client teams to instill long-lasting capabilities and ensure new decision-making models are embraced by organizations.As part of McKinsey, you will receive best-in-class training in structuring business problems and serving as a client adviser and have opportunities to work closely with and learn from our senior commodity and risk practitioners, as well as industry players that are shaping the future of commodity markets and trading. You will get access to unparalleled career acceleration, with a huge amount of ownership and responsibility from the get-go in a collaborative, diverse, non-hierarchical environment. You will get the opportunity to travel to client sites, locally and around the world (once travel resumes). Lastly, you will be able to provide direct and measurable impact to some of the largest organizations in agribusiness, materials, energy, industrial, and consumer foods sectors around the globe.We encourage you to submit a concise cover letter about why you believe that you are a unique fit for our team and what we do! We will read it.Show moreShow less"
"Data Scientist, Insurance",Tesla,2021-03-17 00:00:00+00:00,2021-04-16 22:39:15+00:00,30.94392361111111,Fremont,CA,94537,FULL_TIME,Entry level,Engineering,"Automotive,Renewables & Environment,Utilities","THE ROLETesla's mission is to accelerate the world's transition to sustainable energy. Tesla Insurance Services (TIS) supports this mission by reducing the cost of ownership of our vehicles and improving the customer experience. The insurance data science team is responsible for building and maintaining our telematics and pricing models to accurately predict, measure, and price risk based on customer driving behavior.ResponsibilitiesContribute to all stages of the insurance telematics model including but not limited to problem formulation, data pre-processing, features engineering, sample design, algorithmic selection and evaluation, hyper-parameter tuning, and deploymentPartner with vehicle and data engineering teams on feature analysis across a broad range of fleet data and contribute to shared machine learning platform and infrastructurePartner with Actuaries on incorporating telematics model into our pricing models and provide documentation and support for regulatory approvalDevelop and maintain feedback loop to evaluate and refine our pricing models based on claims and loss data and work with actuaries to fileRequirementsDegree in quantitative field (statistics, math, economics, financial engineering, and/or physics)5 years of experience in roles related to data science (predictive modeling, actuarial science, applied statistics and analyzing risk), preferably with a portion in the insurance industry in pricing/underwriting or actuarial rolesApplied statistics and machine learning experience (regression analysis, time series, probabilistic models, supervised and unsupervised methods, and visualization)Proficiency in Python and experience with open-source ML libraries and frameworks like Scikit-learn, Spark, and BokehProficiency in SQL and experience with commercial and emerging databases, technologies, and languagesAbility to self-start and self-direct work in an unstructured environment, comfortable dealing with ambiguityExcellent problem-framing, problem solving and project management skills and ability to change direction quicklyPreferredACAS or FCASExperience in insurance pricing and/or telematicsExperience in data engineeringExperience with cloud platforms (AWS, Azure, GCP)Experience with git and version control workflowsExperience with continuous integration pipelines and infrastructure (Docker, Jenkins, Kubernetes)Show moreShow less"
Associate Data Scientist,Pfizer,2021-03-17 22:34:47+00:00,2021-04-16 22:34:47+00:00,30.0,New London,CT,06320,FULL_TIME,Associate,Other,Pharmaceuticals,"The Associate Data Scientist is responsible to assist Pfizer’s Data Management staff to leverage both internal and external data assets to deliver business insights, implement automation and Artificial Intelligence (AI) methods by collaborating with cross-functional teams within the organization with an overall goal of enhancing tactical and strategic decision making.This role requires a good understanding of technical and business aspects of Data Science, Clinical Trial data, and Data Management. Exposure to Artificial Intelligence (AI) tools and techniques is a plus. Must be able to understand the analytical needs of business users, to translate the business needs into automation solutions. Requires full Data Science life cycle development experience, including data discovery, labelling the data, working with tech team(s) to create hypothesis, assist in selecting models, test and evaluate models and model operationalization. Should have a strong understanding of relational databases and Clinical Trial data to facilitate data wrangling, model operationalization, and exploration of data. Responsible for adhering to corporate reporting policy and controls to ensure the accuracy, timeliness and confidentiality of Data Management automation.Data scientist must be able to drive tangible business value working under the direction of Lead for AI and Data Sciences by collaborating with Data Managers, Clinical Data Scientists, Client Partners and Information Management colleagues and external vendors.Role ResponsibilitiesGeneral:Assist the manager implement global strategies, initiatives, processes, and standards to ensure consistent, efficient, and quality Data Science processes to meet expected quality, timelines and deliverables.Run SQL queries to extract Operational, Clinical data and Specifications from various information systems.Able to independently assess and analyze data quality, understand business processes and how they impact data quality, prepare data including labelling of data for Machine Learning experiments.Able to pilot and build POC’s to demonstrate and test business value of Machine Learning models, understand Model metrics, iteratively improve Model performance working with tech leads and vendors.Analyze, interpret, and summarize Machine Learning model results.Operationalize and maintain the models.Develop presentations and trainings for business users to increase understanding of AI, Data Science and automation within Data Management.QualificationsBASIC QUALIFICATIONSBachelor’s degree or above or equivalent experience in a scientific or business related discipline required; Degree in Informatics, or Computer science, or Statistics, or related business degree with equivalent experience preferred.Works independently, receives instruction primarily on unusual situations.Ability to organize tasks, time and priorities; ability to multi-task.Ability to communicate with internal & external stakeholders, locally and globally.Preferred QualificationsAt least one to two years of total experience with Clinical data, SQL, and Analytics.Demonstrated experience with Python and/or R, SAS and Machine Learning models implementation.SQL experience with relational databases like Postgres or Oracle or Microsoft.Other Job Details:Last Date to Apply for Job: March 22ndEligible for Employee Referral Bonus: YESSunshine ActPfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.EEO & Employment EligibilityPfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.MedicalShow moreShow less"
(USA) Data Scientist,Walmart,2021-03-17 03:58:50+00:00,2021-04-16 03:58:48+00:00,29.99997685185185,Dallas,TX,75342,FULL_TIME,Entry level,Engineering,"Information Technology and Services,Financial Services,Hospital & Health Care","Position Summary... What You'll Do...Applied Business Acumen: Supports the development of business cases and recommendations. Owns delivery of project activity and tasks assignedby others. Supports process updates and changes. Solves business issues.Data Source Identification: Understand the appropriate data set required to develop simple models by developing initial drafts. Supports theidentification of the most suitable source for data. Maintains awareness of data quality.Data Strategy: Understands, articulates, and applies principles of the defined strategy to routine business problems that involve a single function.Analytical Modeling: Selects the analytical modeling technique most suitable for the structured, complex data and develops custom analytical models.Conducts exploratory data analysis activities (for example, basic statistical analysis, hypothesis testing, statistical inferences) on available data.Defines and finalizes features based on model responses and introduces new or revised features to enhance the analysis and outcomes. Identifiesthe dimensions of the experiment, finalizes the design, tests hypotheses, and conducts the experiment. Perform trend and cluster analysis on data toanswer practical business problems and provide recommendations and key insights to the business. Mentors and guides junior associates on basicmodeling and analytics techniques to solve complex problems.Model Deployment & Scaling: Supports efforts to ensure that analytical models and techniques used can be deployed into production. Supportsevaluation of the analytical model. Supports the scalability and sustainability of analytical models.Code Development & Testing: Writes code to develop the required solution and application features by using the recommended programminglanguage and leveraging business, technical, and data requirements. Test the code using the recommended testing approach.Problem Formulation: Translates business problems within one's discipline to data related or mathematical solutions. Identifies what methods (forexample, analytics, big data analytics, automation) would provide a solution for the problem. Shares use cases and gives examples to demonstratehow the method would solve the business problem.Model Assessment & Validation: Supports model fit testing and statistical inferences to evaluate performance. Assesses the impact of variables andfeatures on model performance.Data Visualization: Generates appropriate graphical representations of data and model outcomes under guidance. Supports the understanding ofcustomer requirements and designs data representations for simple data sets. Presents to and influences the team using the appropriate frameworksand conveys messages through basic business understanding.Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice andguidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; andbuilding commitment for perspectives and rationales.Provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying businessneeds; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing onimprovement opportunities; and adapting to competing demands, organizational changes, and new responsibilities.Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity byincorporating these into the development and implementation of business plans; using the Open Door Policy; and demonstrating and assisting otherswith how to apply these in executing business processes and practices.Minimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2years' experience in an analytics or related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science,Information Technology or related field. Option 3: 4 years' experience in an analytics or related field. Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Data science, machine learning, optimization models, Master’s degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)Show moreShow less"
Data & Applied Scientist,Microsoft,2021-03-18 06:25:43+00:00,2021-04-17 06:25:43+00:00,30.0,Atlanta,GA,30355,FULL_TIME,Not Applicable,Engineering,"Computer Hardware,Computer Software,Information Technology and Services","Our team, part of the Customer Success Engineering org, is fanatically focused on customer love: quantifying it, deeply understanding it, democratizing it, and improving it. We turn customer satisfaction into a signal as clear and indispensable as usage or perf, develop deep insights on what drives it, and proactively engage customers to increase it. Our team puts some science behind customer love, enabling engineering teams to better understand their issues.We are a combined engineering & Data Science team architecting the system that underpins these efforts, including a survey system, the backend storage where we blend in telemetry and other sources to augment the signal, ML models to pinpoint drivers and find correlations, and our proactive outreach platform that interfaces with support and enables us easily orchestrate campaigns to connect directly with customers in a personal way.#microsoftatlResponsibilitiesResponsibilities Being one of the stewards for a key business metric Working as part of a results-oriented, data-driven team that embraces experimentation Collaborating with engineers, program managers and partner teams to develop insights from our signals Building lasting models for analyzing and understanding customer satisfaction and user behavior data.QualificationsMasters or equivalent in quantitative field- Statistics, Engineering, Mathematics, Operations with experience in Analytics. 2+ years of experience with machine learning, natural language processing, survey methodology & analysis and experiment design.2+ years of experience applying statistical methods such as hypothesis testing, p-values, confidence intervals, regression, classifications, and optimizationDevelopment experience in R/Python/SAS or similar programming languageStrong communications skills, in particular written research results and effective presentationsFamiliarity with distributed data processing/analysis and modeling paradigms, such as Map-Reduce, is a plusMicrosoft Cloud Background CheckAbility to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.Show moreShow less"
Junior Data Scientist,Lull,2021-03-18 05:08:21+00:00,2021-04-17 05:08:21+00:00,30.0,Goleta,CA,93118,FULL_TIME,Entry level,Engineering,"Marketing and Advertising,Computer Software,Internet","If you are looking for an opportunity to become a key member of a dynamic Data Science team and have a direct impact on the success of our business, then this position is for you!Who is Lull?:Lull is a well-funded, Santa Barbara based, innovative and fast-growing online eCommerce company that has focused on selling a premium mattress and bedding directly to consumers. We are driven by our values, a great culture, our commitment to our customers and consistent revenue growth. Since our launch in 2015, sales have grown by triple digits each year and we are profitable. We like to set the bar high, roll up our sleeves, and work together to outperform the competition. We are highly invested in the communities we serve through our outreach programs by donating time, products, and services both locally and nationally. We are looking for people who are passionate about their work, eager to learn, and ready to start doing the best work of their lives.We feel that our employees are our family, and everyone helps to build a truly diverse and inclusive workforce.Summary:The Junior Data Scientist is responsible for developing/maintaining models as part of the Data Science team’s machine learning strategy, from exploratory data analysis to deployment of models on the cloud. Projects will mainly focus on performance marketing but may span a variety of other subjects in the e-commerce domain. The Junior Data Scientist reports to the Data Scientist.Location: Remote – Candidates located in the state of California are preferred.Key Responsibilities:Identify patterns and features in data using mathematical/statistical techniquesDevelop end-to-end machine learning models in the cloudMaintain, monitor, and optimize existing modelsTranslate technical concepts to business stakeholdersRequirements:Bachelor's degree or equivalent experience in a STEM field (Computer Science, Mathematics/Statistics, Engineering, Physics, Chemistry, etc.)Takes complete ownership of assigned tasks and projectsDesire to learn and constantly update skills with most recent technologiesCurious about business goals, striving to bring new ideas to the tableAnalytical – strong math and logic skillsMethodical and meticulousAbility to be self-criticalGreat communicator across teamsHas working knowledge of:Python (Pandas/Numpy/Matplotlib) SQL – Data Extraction + ExplorationData preprocessing, exploratory data analysisMachine learning development (model selection + hyperparameter tuning)Demonstrated ability with personal projectsStrong Candidate:1+ year professional experience in a similar/technical fieldBig data frameworks (Apache Spark/Dask)Version control, command-line interfacingDomain knowledge in digital marketing/e-commerceTime-series forecasting What You’ll Learn:The data-informed approach to performance marketing and e-commerce. We use state-of-the-art technologies and mathematical techniques to optimize our marketing on a daily cadenceValuable technologies including Tableau, Heap Analytics, Snowplow Analytics, and Facebook attribution, with exclusive access to advanced beta programs and special featuresContainer management/orchestration (Docker/Kubernetes)Cloud-based technologies (AWS)Full-stack ML lifecycle: prototyping, deploying, monitoringReasons to Love Lull:Generous vacation – We love our work, but we recognize that it is just as important to get away and we encourage you to take the time you needBenefits – We have generous benefitsHealthy work life balance – Our people are highly engaged and passionate about their work. We highly value a work/life balance; we live in paradiseIncredible Team – We surround ourselves with talented, professional, and friendly team membersPlentiful snacks and corporate sponsored events A team dedicated to serving their communityA free mattress after 90 daysWe promote professional development through in-house training, conferences, online courses, and hands-on experienceOur Values:Our customers are the priorityData drives our decisionsWe are results-focusedWe strive for constant improvementWe communicate openly and honestlyWe practice humilityEveryone adds valueWe assume ownership and accountabilityWe work to livePlease address your cover letter to Raghav, Data Scientist, and let us know what style of sleeper you are.Powered by JazzHRkxyKFuNViIShow moreShow less"
Data Scientist,ISO,2021-03-17 20:59:16+00:00,2021-04-16 20:59:15+00:00,29.999988425925928,Bloomington,IL,61709,FULL_TIME,Associate,Other,"Computer Software,Insurance,Financial Services","Company DescriptionISO, a Verisk business, has been a leading source of information about property/casualty insurance risk since 1971. For a broad spectrum of commercial and personal lines of insurance, ISO provides statistical, actuarial, underwriting, and claims information and analytics; compliance and fraud identification tools; policy language; information about specific locations; and technical services. ISO serves insurers, reinsurers, agents and brokers, insurance regulators, risk managers, and other participants in the property/casualty insurance marketplace. To learn more about ISO please visit us at:  www.verisk.com/iso. We are proud to be a part of the Verisk family of companies!At the heart of what we do is help clients manage risk. Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more informed decisions.Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records. We provide advanced decision-support to prevent credit, lending, and cyber risks. In addition, we monitor and advise companies on complex global matters such as climate change, catastrophes, and geopolitical issues.But why we do our work is what sets us apart. It stems from a commitment to making the world better, safer and stronger.It’s the reason Verisk is part of the UN Global Compact sustainability initiative. It’s why we made a commitment to balancing 100 percent of our carbon emissions. It’s the aim of our “returnship” program for experienced professionals rejoining the workforce after time away. And, it’s what drives our annual Innovation Day, where we identify our next first-to-market innovations to solve our customers’ problems.At its core, Verisk uses data to minimize risk and maximize value. But far bigger, is why we do what we do.At Verisk you can build an exciting career with meaningful work; create positive and lasting impact on business; and find the support, coaching, and training you need to advance your career. We have received the Great Place to Work® Certification for the fifth consecutive year. We’ve been recognized by Forbes as a World’s Best Employer and a Best Employer for Women, testaments to our culture of engagement and the value we place on an inclusive and diverse workforce. Verisk’s Statement on Racial Equity and Diversity supports our commitment to these values and affecting positive and lasting change in the communities where we live and work.Job DescriptionOverview of the Position You will support high visibility, high priority, big data projects that have significant revenue potential with a focus on automation, data cleaning, merging, and advanced feature engineering to create model ready datasets.You will play an integral role by transforming large highly complex data (of varying quality) into highly usable datasets. As a Data Scientist, you will be tasked with synthesizing creative solutions to non-trivial problems such as creating complex matching algorithms to join disparate data sources, backfilling missing data, engineering high quality features, and identifying then resolving computational inefficiencies by utilizing current generation big data techniques.This role will support and collaborate with a large team of data scientists and engineers by providing model ready data sets, which will be used to generate underwriting and rating products across personal, commercial, property, and auto insurance lines of business. Most of your work will revolve around utilizing PySpark, SQL (SparkSQL, PostgreSQL, and MS SQL) and packages such as Pandas/Dask, NumPy, Numba, h2o, etc. to create these modeling datasets.Principal Responsibilities And Essential DutiesUnder supervision, executes project plans for timely project completion. Provides technical advice to junior team members Utilizes statistical and machine learning techniques to create high-performing models that comply with regulatory and privacy requirements and address business objectives and client needs. Performs analyses of structured and unstructured data to solve multiple and complex business problems. utilizing advanced statistical, mathematical and machine learning technique. Ability to research and develop new approaches, keeping up to date. Tests new statistical analysis methods, software and data sources for continual improvement of quantitative solutions. Implements as needed. Creates clear and easy to understand documents for product support (technical). Presents analysis ideas, progress reports and results to internal managers, project managers. Collaborates with Lead Data Scientist to develop technical/business approaches and new or enhanced technical tools. Participates in collaborations for implementation. Develop knowledge of Verisk Analytics’ business practices, products, and data sources Remain current on big data techniques and become familiar with state of the art tools Contribute to the creation of detailed project plans to ensure projects are completed on time. RequirementsQualificationsExperience (2-4 years) using statistical and machine learning computer languages (e.g. R, Python, SQL). Graduate-level degree preferred with concentration in a quantitative discipline such as statistics, mathematics, economics, operations research, computer science or aligned discipline. Skilled with feature engineering and selection methodologies. Knowledge in and applied experience with statistical and machine learning. Working familiarity with cloud computing environments. Logical, evidence-based problem solving and critical thinking skills. Team focused and evidence of supporting project team members. Distributed computing experience a plus, AWS experience additionally valuable. Strong verbal and written communications skills, listening and teamwork skills, and effective summarization skills. Detail-oriented technical aptitude with strong logical, problem solving, and decision-making skills. Excellent organization/planning skills and talent for managing many large and complex datasets. Aptitude in performing multiple tasks and dealing with changing deadline requirements. This includes knowing when to escalate issues. Maintains a focused, flexible, organized, and proactive manner. PreferredExposure to image classification or recognition. Experience with deep learning and/or text analytics. Insurance experience, focusing on the personal lines or related business content. Additional InformationVerisk Analytics is an equal opportunity employer.All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.http://www.verisk.com/careers.htmlUnsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume.Consumer Privacy NoticeShow moreShow less"
